Genres;4.5;Title Id;Country;Person Name;Title;IMDB Rating Init;Votes;Year;Number of Votes;Titles;Year of Release
Biography;4,5;tt0453562;United States;Alan Tudyk;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Brad Beyer;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Brett Cullen;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Chadwick Boseman;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Harrison Ford;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Christopher Meloni;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Ryan Merriman;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Lucas Black;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;André Holland;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Hamish Linklater;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;T.R. Knight;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;John C. McGinley;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Toby Huss;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Max Gail;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;James Pickens Jr.;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Gino Anthony Pesi;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Jesse Luken;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Jamey Holliday;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Derek Phillips;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Jamie Ruehling;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Blake Sanders;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Johnny Knight;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Clint O'Brien;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Dusan Brown;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Friedel Pinkston;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Linc Hand;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Thomas Helgeland;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Matt Clark;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Peter Mackenzie;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Joe Inscoe;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;C.J. Nitkowski;42;7,5;100K;2013;99828;1;2.013
Biography;4,5;tt0453562;United States;Scott Callaway;42;7,5;100K;2013;99828;1;2.013
